품명,시료수거일,수거장소,세슘검출량(Bq/kg),요오드검출량(Bq/kg),적부판정,조사기관
전복,2024-05-22,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
멸치,2024-05-22,멸치권현망본소위판장,불검출,불검출,적합,국립수산물품질관리원
우렁쉥이,2024-05-21,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
쥐치,2024-05-21,통영견유위판장,불검출,불검출,적합,국립수산물품질관리원
전갱이,2024-05-20,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
보리멸,2024-05-20,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
고등어,2024-05-14,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
전갱이,2024-05-14,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
농어,2024-05-13,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
쥐치,2024-05-13,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
붕장어,2024-05-10,통영도천위판장,불검출,불검출,적합,국립수산물품질관리원
참돔,2024-05-10,통영도천위판장,불검출,불검출,적합,국립수산물품질관리원
참돔,2024-05-10,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
쏨뱅이,2024-05-10,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
붕장어,2024-05-10,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
도다리,2024-05-10,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
조피볼락,2024-05-09,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
참돔,2024-05-09,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
조피볼락,2024-05-07,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
참돔,2024-05-07,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
참돔,2024-05-07,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
병어,2024-05-07,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
붕장어,2024-05-07,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
고등어,2024-05-07,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
전갱이,2024-05-07,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-24,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-24,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-24,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-24,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-24,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
멸치,2024-04-24,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
청어,2024-04-24,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
멸치,2024-04-22,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
꽁치,2024-04-22,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
병어,2024-04-22,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
붕장어,2024-04-22,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
고등어,2024-04-22,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
전갱이,2024-04-22,통영본소위판장,불검출,불검출,적합,국립수산물품질관리원
갑오징어,2024-04-22,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
문어,2024-04-22,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
붕장어,2024-04-22,통영삼덕위판장,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-19,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-19,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
굴,2024-04-17,경상남도 통영시,불검출,불검출,적합,국립수산물품질관리원
