지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec),염분
22188,2024-01-01,6.1,,,,,1.8,1.2,1.5,2.1,4.9,5.7,33.2
22188,2024-01-02,,,,,,,,1.1,2,,5.6,33.2
22188,2024-01-03,,,,,,,,1.5,2.5,,4.2,33.2
22188,2024-01-04,5.5,1022.7,57,8.1,14.2,1.3,0.9,1.4,2.4,4.1,4.6,33.2
22188,2024-01-05,5.3,1021.3,69,11.6,13.7,1.2,0.7,0.9,1.5,3.8,4.1,33.2
22188,2024-01-06,6.9,1020.6,55,9.6,15.1,1.1,0.7,1.2,1.9,3.5,3.9,33.2
22188,2024-01-07,10.2,1024.4,55,4.8,12.7,1.9,1.2,1.5,2.8,4,4.3,33.2
22188,2024-01-08,3.7,1026.1,,,12.9,1,0.7,0.9,1.4,4.4,5.6,33.2
22188,2024-01-09,4.5,1019.8,71,7.7,13.3,0.8,0.5,0.8,1.1,4,5.2,33.2
22188,2024-01-10,6.8,1017.7,71,7.7,13.2,1.3,0.9,1.2,2.1,3.9,5,33.2
22188,2024-01-11,8.1,1018.2,61,7.5,13.2,1.8,1.2,1.4,2.5,4.4,5.4,33.2
22188,2024-01-12,8.2,1017.8,57,10.2,14.1,1.5,1,1.3,2,3.7,4.1,33.5
22188,2024-01-13,3.5,1024,,,14.4,0.9,0.6,0.9,1.5,3.8,4.3,33.5
22188,2024-01-14,6.6,1021.6,68,12.5,14.5,1.6,1,1.4,2.1,4.7,6.2,33.5
22188,2024-01-15,7.6,1024.1,52,7.9,14.5,1.8,1.1,1.5,2.4,4.2,4.4,33.6
22188,2024-01-16,4.9,1030.8,,,14.1,1.2,0.8,1,1.6,4.5,4.9,33.6
22188,2024-01-17,3.9,1025.8,75,13.1,15,1.2,0.8,1.2,1.9,4.8,5.8,33.6
22188,2024-01-18,7.7,1020.9,88,13.7,14.8,1.7,1.1,2.6,3.9,4.3,5.3,33.6
22188,2024-01-19,14.1,1024.8,81,10,14.6,3.8,2.5,2.9,4.9,5.5,5.9,33.6
22188,2024-01-20,14,1020,,,12.5,4.2,2.7,3.3,5.6,5.7,6.3,33.6
22188,2024-01-21,6.8,1022.2,77,9.2,13.7,2.9,1.8,2.2,3.5,6,7.1,33.6
22188,2024-01-22,13,1024.3,67,2.1,12.9,2.9,2,2.3,3.5,4.9,5.2,33.6
22188,2024-01-23,13.2,1024,,,11.9,3,1.9,2.4,4.1,4.7,5,33.5
22188,2024-01-24,12.5,1023.9,61,0.8,10.9,3,2,2.3,3.7,4.9,5.3,33.4
22188,2024-01-25,7.6,1026.9,54,2.6,11.3,2.4,1.6,1.8,2.9,5.7,6.5,33.4
22188,2024-01-26,4.4,1027.7,52,5.8,12.7,1.9,1.3,1.7,3.1,6.3,7.7,33.4
22188,2024-01-27,5.2,1025.8,57,6.9,12.5,1.6,1,1.2,2.2,5.2,5.8,33.4
22188,2024-01-28,7,1027.2,55,6.4,12.3,1.7,1.1,1.3,2.1,4.4,5,33.4
