               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1028,           0.0078536,                   0,          0.00091889,             0.16185,           0.0005557,          0.00012532,            0.087589,           0.0080515,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.077041,            0.012621,                   0,           0.0033708,             0.59372,            0.002743,          0.00076618,            0.065471,            0.011017,                   0,            0.040449,            0.006375,            0.006375
                   2,            0.061807,            0.013537,                   0,           0.0054993,             0.96862,            0.036443,            0.010122,            0.062174,            0.010622,                   0,            0.010012,           0.0092708,           0.0092708
                   3,            0.060121,            0.011415,                   0,             0.29957,             0.68456,             0.30752,            0.097838,            0.058144,           0.0071609,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.058334,           0.0091997,                   0,             0.81538,             0.87614,             0.82727,             0.27588,             0.04543,           0.0062854,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.043555,           0.0081865,                   0,             0.64223,             0.89678,             0.71027,             0.26773,            0.046861,           0.0056611,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.043059,           0.0067879,                   0,             0.92898,             0.95541,             0.95113,             0.35119,            0.039135,            0.004992,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.039859,           0.0061963,                   0,             0.90843,             0.96671,             0.95603,             0.46307,               0.038,           0.0045506,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.042672,           0.0064938,                   0,             0.92606,             0.98431,              0.9621,             0.47174,             0.03328,           0.0047232,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.036091,           0.0062356,                   0,             0.94492,             0.98514,             0.98062,             0.48016,            0.031225,           0.0043372,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.034514,           0.0057552,                   0,             0.96532,             0.98833,             0.98696,             0.51051,            0.029958,           0.0042267,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.033752,            0.005922,                   0,              0.9622,             0.96697,             0.97503,             0.48115,             0.03122,           0.0042765,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.034978,           0.0056173,                   0,             0.96748,              0.9678,             0.97694,             0.46912,            0.028783,           0.0042102,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.032487,            0.005535,                   0,             0.98064,             0.98431,             0.99089,             0.50288,            0.027046,           0.0041133,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.031153,           0.0055778,                   0,             0.97577,             0.97936,              0.9866,             0.53809,            0.025669,           0.0040034,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.030249,           0.0054206,                   0,             0.96416,             0.97734,             0.98675,             0.52286,            0.026101,           0.0039547,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.029139,           0.0052111,                   0,             0.95524,             0.98681,             0.98386,             0.52158,            0.024937,           0.0038382,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.029758,           0.0053234,                   0,             0.95295,             0.98673,             0.98233,             0.52969,            0.025619,           0.0038149,                   0,             0.00472,             0.00472,             0.00472
                  18,              0.0302,           0.0052042,                   0,             0.96511,             0.98207,              0.9861,             0.54413,            0.025006,           0.0037156,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.027651,           0.0051223,                   0,             0.96513,             0.98273,             0.98786,             0.53894,            0.026319,            0.003672,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.02768,           0.0050787,                   0,             0.97525,             0.97614,             0.98268,             0.54562,            0.024202,           0.0036995,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.029154,           0.0051764,                   0,             0.97542,             0.98298,              0.9891,             0.56537,            0.022828,           0.0036722,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.027862,           0.0051844,                   0,             0.97473,             0.98751,             0.98791,             0.54602,            0.022884,           0.0036286,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.026646,           0.0050075,                   0,              0.9852,             0.98962,              0.9898,              0.5564,             0.02228,           0.0035453,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.025422,           0.0049155,                   0,             0.97871,             0.98844,             0.98748,             0.56077,            0.023397,           0.0035071,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.023584,           0.0048392,                   0,             0.98027,             0.98452,             0.98398,             0.55743,            0.021803,            0.003459,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.023442,           0.0048667,                   0,             0.98189,             0.98486,             0.98544,             0.55619,            0.021643,           0.0034638,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.021458,           0.0047283,                   0,             0.97782,             0.98514,             0.98825,             0.57077,            0.022046,           0.0034367,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.024907,            0.004709,                   0,             0.97985,             0.98514,              0.9886,             0.56695,            0.020758,           0.0034151,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.024055,           0.0046688,                   0,             0.97942,             0.98266,             0.98744,             0.56904,            0.020844,           0.0033978,                   0,             0.00076,             0.00076,             0.00076
