               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10217,            0.011625,                   0,           0.0053067,             0.84775,            0.012093,           0.0032333,            0.052773,            0.013373,                   0,            0.070224,           0.0033085,           0.0033085
                   1,            0.065886,            0.011984,                   0,             0.68835,              0.8025,              0.7826,              0.2591,             0.04445,           0.0074251,                   0,            0.040005,           0.0064226,           0.0064226
                   2,            0.056857,            0.008863,                   0,               0.605,             0.85083,             0.62603,              0.1902,            0.045452,           0.0061394,                   0,           0.0095655,           0.0093168,           0.0093168
                   3,              0.0517,           0.0079969,                   0,             0.80122,             0.81925,             0.80022,             0.27278,            0.039807,           0.0054688,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.046148,           0.0074228,                   0,             0.90873,               0.906,              0.9026,              0.3374,            0.035771,           0.0052842,                   0,             0.00901,             0.00901,             0.00901
                   5,             0.04296,           0.0068248,                   0,             0.96815,             0.96425,             0.96981,             0.47082,            0.030024,           0.0046595,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.042035,           0.0064145,                   0,             0.95494,             0.95356,             0.95541,             0.44551,            0.029594,           0.0045031,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.041685,           0.0061226,                   0,             0.96733,             0.96525,             0.96486,              0.4571,            0.029017,           0.0041558,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.038773,           0.0058283,                   0,             0.97291,             0.96959,             0.97047,             0.49977,            0.027278,           0.0039356,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.036491,           0.0055408,                   0,             0.97325,               0.968,             0.96737,             0.48986,            0.026645,           0.0037973,                   0,             0.00736,             0.00736,             0.00736
                  10,             0.03536,            0.005462,                   0,             0.98093,             0.97733,             0.97974,             0.52138,            0.026704,           0.0036781,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.033665,           0.0052701,                   0,              0.9794,             0.97482,             0.97322,             0.51954,            0.025011,           0.0036796,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.034506,           0.0055027,                   0,             0.98294,              0.9796,             0.98145,             0.52292,            0.024659,            0.003618,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.033899,           0.0052933,                   0,             0.98303,             0.97775,              0.9832,             0.53191,            0.025493,           0.0035547,                   0,             0.00604,             0.00604,             0.00604
                  14,             0.03351,            0.005181,                   0,             0.98236,             0.97875,             0.98203,             0.51067,            0.024953,            0.003566,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.031031,           0.0050836,                   0,             0.98247,             0.98054,             0.98431,             0.54451,            0.023829,           0.0035146,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.032403,           0.0051681,                   0,             0.98471,              0.9815,             0.98614,             0.54052,            0.023692,           0.0034901,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.030859,           0.0051645,                   0,             0.97819,             0.97564,             0.97529,             0.51277,            0.024802,           0.0035298,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.031105,            0.005136,                   0,             0.98121,             0.97888,             0.97993,             0.52763,            0.024419,           0.0034693,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.03017,           0.0050052,                   0,             0.98214,               0.978,             0.98134,             0.53853,            0.023319,           0.0034494,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.029394,           0.0050949,                   0,             0.98648,             0.98473,             0.98841,             0.55172,            0.022515,           0.0034002,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.028327,           0.0050543,                   0,              0.9831,             0.98275,              0.9838,             0.54891,            0.022573,           0.0034049,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.028083,           0.0050086,                   0,             0.98522,             0.98312,             0.98424,             0.54842,            0.022794,           0.0033613,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.027633,           0.0049663,                   0,             0.98567,              0.9825,             0.98485,             0.56372,            0.022196,           0.0033435,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.027544,            0.004805,                   0,              0.9857,             0.98525,             0.98733,              0.5611,            0.022052,           0.0033397,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.027338,           0.0049279,                   0,             0.98458,             0.98225,             0.98434,             0.56747,            0.021797,           0.0033397,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.027612,           0.0048875,                   0,             0.98598,              0.9835,             0.98672,             0.56676,            0.021988,           0.0033179,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.027248,           0.0049872,                   0,             0.98548,             0.98407,             0.98613,             0.57124,            0.021301,           0.0033069,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.027187,           0.0050175,                   0,             0.98505,             0.98325,             0.98553,             0.57283,            0.021565,           0.0032925,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.026233,           0.0048072,                   0,             0.98697,             0.98491,              0.9867,             0.57013,            0.021175,           0.0033053,                   0,             0.00076,             0.00076,             0.00076
